# OUTPUT DATA:

# TEST_1:
(917) 396-3385
PhoneNumber('9173963385')

# TEST_2:
(918) 396-3389
PhoneNumber('9183963389')

# TEST_3:
(917) 396-3385, (918) 396-3389, (919) 333-3344
[PhoneNumber('9173963385'), PhoneNumber('9183963389'), PhoneNumber('9193333344')]

# TEST_4:
(584) 424-7980
(303) 455-6563
(080) 137-8882
(135) 308-6459
(452) 914-1710
(258) 523-8946
(786) 498-6430
(848) 905-4460
(672) 040-4403
(581) 390-1238
(293) 507-1452
(564) 403-3879
(553) 994-5111
(120) 680-4833
(497) 038-2986
(768) 700-9852
(878) 340-9293
(519) 487-2835
(232) 790-9126
(276) 668-0152
(004) 007-1911
(868) 374-1896
(608) 894-2069
(786) 200-7783
(899) 844-8014
(025) 964-1484
(635) 466-6907
(480) 855-6501
(122) 617-7553
(707) 853-2596
(721) 407-4680
(027) 383-8185
(609) 128-5963
(497) 394-0854
(316) 652-9045
(502) 683-8106
(022) 789-2592
(356) 128-5976
(463) 028-1956
(160) 239-3748
(611) 756-5768
(029) 630-1800
(010) 131-5726
(688) 997-8789
(459) 101-5280
(689) 444-1861
(253) 275-2285
(496) 798-6454
(262) 242-2612
(699) 137-0823
(208) 661-8801
(892) 555-0049
(493) 078-4684
(450) 290-8976
(911) 851-8747
(471) 536-4143
(430) 520-4155
(267) 950-5934
(795) 328-6520
(936) 577-9093
(247) 751-2428
(621) 297-8367
(249) 429-1974
(102) 902-1790
(314) 576-2267
(022) 970-5688
(883) 140-4095
(725) 025-4047
(095) 999-8216
(411) 644-9335
(791) 975-8926
(200) 720-3228
(133) 539-2082
(480) 622-5305
(658) 115-0751
(812) 894-6932
(779) 445-6301
(225) 592-0373
(523) 384-5514
(563) 198-0682
(806) 078-4751
(516) 185-4075
(112) 003-0839
(335) 343-0737
(012) 257-8528
(294) 111-4127
(372) 037-0388
(989) 221-0612
(849) 742-6354
(276) 217-9276
(569) 730-6607
(452) 330-3868
(535) 711-5306
(089) 836-7255
(983) 196-2436
(767) 708-8104
(258) 364-5182
(690) 762-4912
(062) 232-6939
(668) 440-0366
[PhoneNumber('5844247980'), PhoneNumber('3034556563'), PhoneNumber('0801378882'), PhoneNumber('1353086459'), PhoneNumber('4529141710'), PhoneNumber('2585238946'), PhoneNumber('7864986430'), PhoneNumber('8489054460'), PhoneNumber('6720404403'), PhoneNumber('5813901238'), PhoneNumber('2935071452'), PhoneNumber('5644033879'), PhoneNumber('5539945111'), PhoneNumber('1206804833'), PhoneNumber('4970382986'), PhoneNumber('7687009852'), PhoneNumber('8783409293'), PhoneNumber('5194872835'), PhoneNumber('2327909126'), PhoneNumber('2766680152'), PhoneNumber('0040071911'), PhoneNumber('8683741896'), PhoneNumber('6088942069'), PhoneNumber('7862007783'), PhoneNumber('8998448014'), PhoneNumber('0259641484'), PhoneNumber('6354666907'), PhoneNumber('4808556501'), PhoneNumber('1226177553'), PhoneNumber('7078532596'), PhoneNumber('7214074680'), PhoneNumber('0273838185'), PhoneNumber('6091285963'), PhoneNumber('4973940854'), PhoneNumber('3166529045'), PhoneNumber('5026838106'), PhoneNumber('0227892592'), PhoneNumber('3561285976'), PhoneNumber('4630281956'), PhoneNumber('1602393748'), PhoneNumber('6117565768'), PhoneNumber('0296301800'), PhoneNumber('0101315726'), PhoneNumber('6889978789'), PhoneNumber('4591015280'), PhoneNumber('6894441861'), PhoneNumber('2532752285'), PhoneNumber('4967986454'), PhoneNumber('2622422612'), PhoneNumber('6991370823'), PhoneNumber('2086618801'), PhoneNumber('8925550049'), PhoneNumber('4930784684'), PhoneNumber('4502908976'), PhoneNumber('9118518747'), PhoneNumber('4715364143'), PhoneNumber('4305204155'), PhoneNumber('2679505934'), PhoneNumber('7953286520'), PhoneNumber('9365779093'), PhoneNumber('2477512428'), PhoneNumber('6212978367'), PhoneNumber('2494291974'), PhoneNumber('1029021790'), PhoneNumber('3145762267'), PhoneNumber('0229705688'), PhoneNumber('8831404095'), PhoneNumber('7250254047'), PhoneNumber('0959998216'), PhoneNumber('4116449335'), PhoneNumber('7919758926'), PhoneNumber('2007203228'), PhoneNumber('1335392082'), PhoneNumber('4806225305'), PhoneNumber('6581150751'), PhoneNumber('8128946932'), PhoneNumber('7794456301'), PhoneNumber('2255920373'), PhoneNumber('5233845514'), PhoneNumber('5631980682'), PhoneNumber('8060784751'), PhoneNumber('5161854075'), PhoneNumber('1120030839'), PhoneNumber('3353430737'), PhoneNumber('0122578528'), PhoneNumber('2941114127'), PhoneNumber('3720370388'), PhoneNumber('9892210612'), PhoneNumber('8497426354'), PhoneNumber('2762179276'), PhoneNumber('5697306607'), PhoneNumber('4523303868'), PhoneNumber('5357115306'), PhoneNumber('0898367255'), PhoneNumber('9831962436'), PhoneNumber('7677088104'), PhoneNumber('2583645182'), PhoneNumber('6907624912'), PhoneNumber('0622326939'), PhoneNumber('6684400366')]

