# OUTPUT DATA:

# TEST_1:
Point(x=0.0, y=0.0, quadrant=0)
0.0
0.0
0

# TEST_2:
Point(x=1.0, y=-2.0, quadrant=4)
Point(x=-1.0, y=2.0, quadrant=2)

# TEST_3:
True
False
True

# TEST_4:
Point(x=-3, y=-3, quadrant=3)
Point(x=-3, y=-2, quadrant=3)
Point(x=-3, y=-1, quadrant=3)
Point(x=-3, y=0, quadrant=0)
Point(x=-3, y=1, quadrant=2)
Point(x=-3, y=2, quadrant=2)
Point(x=-3, y=3, quadrant=2)
Point(x=-2, y=-3, quadrant=3)
Point(x=-2, y=-2, quadrant=3)
Point(x=-2, y=-1, quadrant=3)
Point(x=-2, y=0, quadrant=0)
Point(x=-2, y=1, quadrant=2)
Point(x=-2, y=2, quadrant=2)
Point(x=-2, y=3, quadrant=2)
Point(x=-1, y=-3, quadrant=3)
Point(x=-1, y=-2, quadrant=3)
Point(x=-1, y=-1, quadrant=3)
Point(x=-1, y=0, quadrant=0)
Point(x=-1, y=1, quadrant=2)
Point(x=-1, y=2, quadrant=2)
Point(x=-1, y=3, quadrant=2)
Point(x=0, y=-3, quadrant=0)
Point(x=0, y=-2, quadrant=0)
Point(x=0, y=-1, quadrant=0)
Point(x=0, y=0, quadrant=0)
Point(x=0, y=1, quadrant=0)
Point(x=0, y=2, quadrant=0)
Point(x=0, y=3, quadrant=0)
Point(x=1, y=-3, quadrant=4)
Point(x=1, y=-2, quadrant=4)
Point(x=1, y=-1, quadrant=4)
Point(x=1, y=0, quadrant=0)
Point(x=1, y=1, quadrant=1)
Point(x=1, y=2, quadrant=1)
Point(x=1, y=3, quadrant=1)
Point(x=2, y=-3, quadrant=4)
Point(x=2, y=-2, quadrant=4)
Point(x=2, y=-1, quadrant=4)
Point(x=2, y=0, quadrant=0)
Point(x=2, y=1, quadrant=1)
Point(x=2, y=2, quadrant=1)
Point(x=2, y=3, quadrant=1)
Point(x=3, y=-3, quadrant=4)
Point(x=3, y=-2, quadrant=4)
Point(x=3, y=-1, quadrant=4)
Point(x=3, y=0, quadrant=0)
Point(x=3, y=1, quadrant=1)
Point(x=3, y=2, quadrant=1)
Point(x=3, y=3, quadrant=1)

# TEST_5:
Point(x=-3, y=3, quadrant=2)
Point(x=-3, y=2, quadrant=2)
Point(x=-3, y=1, quadrant=2)
Point(x=-3, y=0, quadrant=0)
Point(x=-3, y=-1, quadrant=3)
Point(x=-3, y=-2, quadrant=3)
Point(x=-3, y=-3, quadrant=3)
Point(x=-2, y=3, quadrant=2)
Point(x=-2, y=2, quadrant=2)
Point(x=-2, y=1, quadrant=2)
Point(x=-2, y=0, quadrant=0)
